BillType,CgstRate,CustomerId,Date,Discount,GstAmount,Id,IgstRate,ItemDescription,MakingCharges,Metal,Purity,RatePerGram,SgstRate,Status,SubTotal,TotalAmount,Weight
PAKKA,1.5,C04987,2024-09-17,2383,9546.20,INV-000031,0,Gold Earrings 22K,103,GOLD,22K,6848,1.5,PAID,318206.4,327752.60,46.8
PAKKA,1.5,C09422,2025-09-11,2356,12.84,INV-000032,0,Silver Thali,104,SILVER,999,80,1.5,PAID,428,440.84,33.5
PAKKA,1.5,C01905,2025-07-27,1558,-5.56,INV-000033,0,Silver Coin 999,319,SILVER,999,103,1.5,PAID,-185.31,-190.87,10.23
KACHA,1.5,C08814,2024-12-28,208,134.36,INV-000034,0,Silver Ring,450,SILVER,999,109,1.5,PAID,4478.83,4613.19,38.87
KACHA,1.5,C02661,2025-08-20,2098,4786.70,INV-000035,0,Gold Necklace 22K,194,GOLD,22K,7718,1.5,PAID,159556.56,164343.26,20.92
PAKKA,1.5,C00545,2024-07-06,2475,9449.08,INV-000036,0,Gold Earrings 22K,213,GOLD,18K,6687,1.5,PAID,314969.28,324418.36,47.44
PAKKA,1.5,C07691,2025-10-29,2123,1178.14,INV-000037,0,Gold Bangle 22K,116,GOLD,22K,7293,1.5,PAID,39271.38,40449.52,5.66
PAKKA,1.5,C07720,2024-12-18,1710,-12.02,INV-000038,0,Silver Bangle,185,SILVER,999,85,1.5,PAID,-400.45,-412.47,13.23
PAKKA,1.5,C08766,2024-11-08,1612,40.02,INV-000039,0,Silver Payal,156,SILVER,999,99,1.5,PAID,1333.82,1373.84,28.18
KACHA,1.5,C00125,2025-04-05,1216,1629.96,INV-000040,0,Gold Pendant 18K,387,GOLD,18K,6810,1.5,PAID,54332,55961.96,8.1
KACHA,1.5,C07198,2024-07-14,1906,12.96,INV-000041,0,Silver Chain,200,SILVER,999,106,1.5,PENDING,432.02,444.98,20.17
KACHA,1.5,C02087,2024-12-29,241,28.58,INV-000042,0,Silver Bangle,444,SILVER,999,77,1.5,PAID,952.98,981.56,9.74
PAKKA,1.5,C05157,2025-02-12,536,9536.36,INV-000043,0,Gold Anklet 22K,283,GOLD,22K,6763,1.5,PAID,317878.52,327414.88,47.04
KACHA,1.5,C02018,2024-11-11,2895,9619.74,INV-000044,0,Gold Pendant 18K,321,GOLD,22K,7770,1.5,PENDING,320658,330277.74,41.6
KACHA,1.5,C03131,2024-12-14,2086,6808.36,INV-000045,0,Gold Anklet 22K,315,GOLD,18K,6672,1.5,PAID,226945.16,233753.52,34.28
PAKKA,1.5,C08113,2024-07-07,266,704.02,INV-000046,0,Gold Bracelet 22K,455,GOLD,22K,7054,1.5,PAID,23467.2,24171.22,3.3
PAKKA,1.5,C04595,2025-01-13,366,82.80,INV-000047,0,Silver Bangle,476,SILVER,999,101,1.5,PAID,2760.24,2843.04,26.24
KACHA,1.5,C07697,2024-10-31,2304,7053.72,INV-000048,0,Gold Bracelet 22K,496,GOLD,22K,6661,1.5,PAID,235123.77,242177.49,35.57
KACHA,1.5,C02783,2025-04-16,2101,2707.30,INV-000049,0,Gold Earrings 22K,205,GOLD,18K,6765,1.5,PAID,90243.3,92950.60,13.62
KACHA,1.5,C09481,2024-07-22,2717,43.24,INV-000050,0,Silver Bangle,291,SILVER,999,105,1.5,PAID,1441.15,1484.39,36.83
KACHA,1.5,C03340,2024-09-01,2476,3170.44,INV-000051,0,Gold Bangle 22K,425,GOLD,18K,7211,1.5,PAID,105681.34,108851.78,14.94
KACHA,1.5,C06150,2024-06-20,2887,2630.40,INV-000052,0,Gold Nose Pin 22K,152,GOLD,18K,7460,1.5,PAID,87680.2,90310.60,12.12
KACHA,1.5,C07120,2024-11-11,253,1111.76,INV-000053,0,Gold Ring 22K,192,GOLD,18K,7250,1.5,PAID,37059,38170.76,5.12
KACHA,1.5,C00123,2024-12-11,415,4523.90,INV-000054,0,Gold Anklet 22K,379,GOLD,22K,6674,1.5,PENDING,150796.4,155320.30,22.6
PAKKA,1.5,C09757,2024-05-10,1645,1769.30,INV-000055,0,Gold Necklace 22K,180,GOLD,18K,6776,1.5,PENDING,58976.92,60746.22,8.92
PAKKA,1.5,C06052,2024-10-19,2236,3002.80,INV-000056,0,Gold Earrings 22K,227,GOLD,24K,7491,1.5,PAID,100093.33,103096.13,13.63
KACHA,1.5,C06189,2024-02-07,145,2231.62,INV-000057,0,Gold Nose Pin 22K,112,GOLD,24K,7736,1.5,PAID,74387.32,76618.94,9.62
PAKKA,1.5,C06102,2024-07-01,1745,6337.62,INV-000058,0,Gold Earrings 22K,293,GOLD,18K,7069,1.5,PAID,211254.21,217591.83,30.09
PAKKA,1.5,C00069,2025-12-03,1373,5759.04,INV-000059,0,Gold Nose Pin 22K,310,GOLD,24K,7393,1.5,PAID,191968.23,197727.27,26.11
KACHA,1.5,C09550,2025-02-28,274,5631.64,INV-000060,0,Gold Chain 22K,167,GOLD,22K,7019,1.5,PAID,187721.44,193353.08,26.76
PAKKA,1.5,C00069,2024-12-18,364,7332.74,INV-000061,0,Gold Bracelet 22K,132,GOLD,24K,7071,1.5,PAID,244424.6,251757.34,34.6
KACHA,1.5,C07513,2025-04-18,2526,5665.38,INV-000062,0,Gold Ring 22K,104,GOLD,24K,7593,1.5,PAID,188845.67,194511.05,25.19
KACHA,1.5,C01880,2025-06-02,845,35.16,INV-000063,0,Silver Thali,424,SILVER,999,107,1.5,PAID,1172.23,1207.39,14.89
KACHA,1.5,C02672,2024-07-17,971,372.54,INV-000064,0,Gold Ring 22K,236,GOLD,18K,7737,1.5,PENDING,12417.9,12790.44,1.7
PAKKA,1.5,C09697,2024-02-06,2381,5678.06,INV-000065,0,Gold Necklace 22K,352,GOLD,22K,7789,1.5,PAID,189268.84,194946.90,24.56
PAKKA,1.5,C06227,2024-06-25,204,751.90,INV-000066,0,Gold Necklace 22K,339,GOLD,22K,7694,1.5,PAID,25063.56,25815.46,3.24
KACHA,1.5,C07840,2024-01-29,2158,5720.22,INV-000067,0,Gold Bracelet 22K,420,GOLD,22K,7061,1.5,PAID,190674.25,196394.47,27.25
KACHA,1.5,C09484,2024-10-19,2515,4098.44,INV-000068,0,Gold Necklace 22K,240,GOLD,22K,7079,1.5,PAID,136614.98,140713.42,19.62
PAKKA,1.5,C00837,2025-01-03,1918,7867.90,INV-000069,0,Gold Necklace 22K,248,GOLD,18K,6733,1.5,PAID,262263.6,270131.50,39.2
PAKKA,1.5,C06503,2024-02-24,2154,5477.78,INV-000070,0,Gold Nose Pin 22K,117,GOLD,18K,7573,1.5,PAID,182592.74,188070.52,24.38
PAKKA,1.5,C04297,2025-11-01,355,51.80,INV-000071,0,Silver Coin 999,294,SILVER,999,95,1.5,PENDING,1726.9,1778.70,18.82
PAKKA,1.5,C01954,2025-10-29,2607,1520.92,INV-000072,0,Gold Necklace 22K,480,GOLD,18K,7678,1.5,PAID,50697.64,52218.56,6.88
KACHA,1.5,C08384,2024-12-07,2515,4506.02,INV-000073,0,Gold Nose Pin 22K,412,GOLD,24K,7137,1.5,PENDING,150200.58,154706.60,21.34
KACHA,1.5,C09265,2025-02-06,2032,-30.18,INV-000074,0,Silver Thali,110,SILVER,999,107,1.5,PENDING,-1006.08,-1036.26,8.56
PAKKA,1.5,C09569,2024-10-09,915,9308.90,INV-000075,0,Gold Bangle 22K,473,GOLD,22K,6804,1.5,PENDING,310296.68,319605.58,45.67
KACHA,1.5,C08781,2025-12-07,1017,37.34,INV-000076,0,Silver Glass Set,207,SILVER,999,101,1.5,PAID,1244.34,1281.68,20.34
KACHA,1.5,C01917,2025-11-29,935,444.36,INV-000077,0,Gold Nose Pin 22K,178,GOLD,18K,7485,1.5,PAID,14811.8,15256.16,2.08
KACHA,1.5,C01814,2024-04-09,1948,9620.00,INV-000078,0,Gold Ring 22K,414,GOLD,24K,7448,1.5,PENDING,320666.48,330286.48,43.26
KACHA,1.5,C04750,2025-08-21,612,4630.64,INV-000079,0,Gold Bangle 22K,474,GOLD,24K,6897,1.5,PAID,154354.8,158985.44,22.4
PAKKA,1.5,C03309,2024-06-26,520,2918.02,INV-000080,0,Gold Chain 22K,436,GOLD,24K,7029,1.5,PAID,97267.65,100185.67,13.85
PAKKA,1.5,C06862,2024-07-02,1580,10721.30,INV-000081,0,Gold Anklet 22K,477,GOLD,24K,7539,1.5,PAID,357376.45,368097.75,47.55
PAKKA,1.5,C07833,2025-04-09,497,1683.38,INV-000082,0,Gold Anklet 22K,324,GOLD,24K,7348,1.5,PAID,56112.68,57796.06,7.66
PAKKA,1.5,C02206,2024-03-06,1896,985.02,INV-000083,0,Gold Anklet 22K,335,GOLD,18K,7461,1.5,PAID,32834.21,33819.23,4.61
KACHA,1.5,C03737,2024-10-08,672,7967.10,INV-000084,0,Gold Anklet 22K,496,GOLD,24K,6507,1.5,PAID,265569.88,273536.98,40.84
KACHA,1.5,C04797,2024-04-09,1475,72.90,INV-000085,0,Silver Idol,194,SILVER,999,108,1.5,PAID,2429.88,2502.78,34.36
KACHA,1.5,C06113,2025-06-10,1041,8706.88,INV-000086,0,Gold Chain 22K,286,GOLD,22K,6517,1.5,PAID,290229.05,298935.93,44.65
PAKKA,1.5,C09560,2025-02-09,1728,-36.80,INV-000087,0,Silver Bangle,112,SILVER,999,100,1.5,PAID,-1227,-1263.80,3.89
PAKKA,1.5,C04633,2024-05-16,2891,5012.30,INV-000088,0,Gold Nose Pin 22K,288,GOLD,18K,6712,1.5,PAID,167076.36,172088.66,25.28
PAKKA,1.5,C03119,2024-04-18,788,9869.78,INV-000089,0,Gold Chain 22K,396,GOLD,18K,6507,1.5,PAID,328992.34,338862.12,50.62
KACHA,1.5,C06799,2024-02-12,800,8622.48,INV-000090,0,Gold Bracelet 22K,490,GOLD,18K,7016,1.5,PAID,287416.16,296038.64,41.01
KACHA,1.5,C04098,2025-10-31,277,8095.30,INV-000091,0,Gold Earrings 22K,200,GOLD,24K,6891,1.5,PAID,269843.47,277938.77,39.17
KACHA,1.5,C03387,2024-07-27,82,3540.94,INV-000092,0,Gold Anklet 22K,243,GOLD,24K,6523,1.5,PAID,118031.61,121572.55,18.07
KACHA,1.5,C02504,2025-04-22,1853,71.78,INV-000093,0,Silver Payal,306,SILVER,999,86,1.5,PAID,2392.66,2464.44,45.81
KACHA,1.5,C01923,2025-04-24,2204,1213.06,INV-000094,0,Gold Earrings 22K,148,GOLD,22K,6598,1.5,PAID,40435.12,41648.18,6.44
PAKKA,1.5,C08469,2024-01-11,1877,3525.68,INV-000095,0,Gold Anklet 22K,457,GOLD,18K,7509,1.5,PAID,117522.56,121048.24,15.84
PAKKA,1.5,C08671,2024-11-17,728,91.60,INV-000096,0,Silver Idol,436,SILVER,999,93,1.5,PAID,3053.21,3144.81,35.97
PAKKA,1.5,C05944,2024-04-11,315,107.20,INV-000097,0,Silver Ring,371,SILVER,999,86,1.5,PAID,3573.4,3680.60,40.9
KACHA,1.5,C07293,2025-03-13,1454,9270.84,INV-000098,0,Gold Nose Pin 22K,296,GOLD,22K,7162,1.5,PAID,309028.22,318299.06,43.31
PAKKA,1.5,C00190,2025-10-23,44,133.38,INV-000099,0,Silver Bangle,256,SILVER,999,87,1.5,PAID,4446.29,4579.67,48.67
KACHA,1.5,C01623,2025-12-19,777,4708.10,INV-000100,0,Gold Bangle 22K,252,GOLD,24K,6732,1.5,PAID,156936.48,161644.58,23.39
PAKKA,1.5,C09812,2025-10-29,1821,9276.20,INV-000101,0,Gold Earrings 22K,246,GOLD,18K,6672,1.5,PENDING,309206.76,318482.96,46.58
PAKKA,1.5,C09416,2025-09-20,2151,2673.40,INV-000102,0,Gold Nose Pin 22K,466,GOLD,22K,7376,1.5,PAID,89113.56,91786.96,12.31
KACHA,1.5,C04401,2025-06-26,500,84.56,INV-000103,0,Silver Payal,314,SILVER,999,96,1.5,PAID,2818.8,2903.36,31.3
KACHA,1.5,C00758,2025-04-27,2554,4921.16,INV-000104,0,Gold Bracelet 22K,109,GOLD,24K,7704,1.5,PAID,164038.44,168959.60,21.61
KACHA,1.5,C06966,2024-01-26,1493,2582.44,INV-000105,0,Gold Nose Pin 22K,396,GOLD,22K,7187,1.5,PAID,86081.31,88663.75,12.13
PAKKA,1.5,C03973,2024-09-21,2993,2010.00,INV-000106,0,Gold Nose Pin 22K,157,GOLD,22K,7624,1.5,PAID,66999.84,69009.84,9.16
PAKKA,1.5,C01925,2024-11-27,1023,90.90,INV-000107,0,Silver Ring,479,SILVER,999,89,1.5,PAID,3030.24,3121.14,40.16
PAKKA,1.5,C00945,2025-12-02,250,91.96,INV-000108,0,Silver Coin 999,111,SILVER,999,107,1.5,PAID,3065.65,3157.61,29.95
KACHA,1.5,C05566,2024-11-13,2303,10326.14,INV-000109,0,Gold Pendant 18K,106,GOLD,22K,7506,1.5,PAID,344204.9,354531.04,46.15
KACHA,1.5,C06298,2024-03-28,1677,2614.32,INV-000110,0,Gold Necklace 22K,224,GOLD,24K,6884,1.5,PAID,87144.08,89758.40,12.87
KACHA,1.5,C03748,2025-09-21,2523,9271.30,INV-000111,0,Gold Anklet 22K,131,GOLD,22K,7726,1.5,PENDING,309043.06,318314.36,40.31
PAKKA,1.5,C04523,2025-07-16,2789,-25.80,INV-000112,0,Silver Ring,491,SILVER,999,109,1.5,PAID,-860.29,-886.09,13.19
KACHA,1.5,C06790,2025-01-28,1499,-4.18,INV-000113,0,Silver Idol,255,SILVER,999,88,1.5,PAID,-139.6,-143.78,12.55
PAKKA,1.5,C09482,2024-06-12,2740,12.76,INV-000114,0,Silver Ring,319,SILVER,999,82,1.5,PAID,425.22,437.98,34.71
KACHA,1.5,C05904,2024-05-02,1153,1987.90,INV-000115,0,Gold Nose Pin 22K,470,GOLD,18K,7556,1.5,PENDING,66263.16,68251.06,8.86
KACHA,1.5,C03934,2025-01-29,2185,2612.18,INV-000116,0,Gold Anklet 22K,302,GOLD,24K,7662,1.5,PAID,87072.82,89685.00,11.61
KACHA,1.5,C06720,2024-01-14,1427,43.50,INV-000117,0,Silver Bangle,296,SILVER,999,76,1.5,PAID,1449.96,1493.46,33.96
PAKKA,1.5,C08921,2025-04-30,2749,-25.74,INV-000118,0,Silver Thali,458,SILVER,999,98,1.5,PAID,-858.24,-883.98,14.62
PAKKA,1.5,C03012,2024-11-02,1107,3905.66,INV-000119,0,Gold Mangalsutra 22K,253,GOLD,18K,7264,1.5,PENDING,130188.56,134094.22,18.04
PAKKA,1.5,C02913,2024-07-07,1718,9566.30,INV-000120,0,Gold Necklace 22K,386,GOLD,24K,7078,1.5,PAID,318876.72,328443.02,45.24
PAKKA,1.5,C02925,2025-06-07,696,-7.10,INV-000121,0,Silver Glass Set,106,SILVER,999,101,1.5,PAID,-236.5,-243.60,3.5
PAKKA,1.5,C08234,2025-07-17,1492,4121.92,INV-000122,0,Gold Mangalsutra 22K,464,GOLD,22K,6904,1.5,PAID,137397.2,141519.12,20.05
PAKKA,1.5,C02702,2024-08-08,2305,7.20,INV-000123,0,Silver Glass Set,493,SILVER,999,81,1.5,PAID,239.73,246.93,25.33
PAKKA,1.5,C02890,2025-01-08,1242,4388.58,INV-000124,0,Gold Pendant 18K,256,GOLD,18K,6679,1.5,PENDING,146285.95,150674.53,22.05
KACHA,1.5,C02947,2025-06-16,2882,8102.54,INV-000125,0,Gold Anklet 22K,186,GOLD,24K,7186,1.5,PAID,270084.56,278187.10,37.96
PAKKA,1.5,C01571,2025-08-28,2166,28.08,INV-000126,0,Silver Coin 999,480,SILVER,999,91,1.5,PAID,935.71,963.79,28.81
KACHA,1.5,C03954,2024-06-03,1585,-18.04,INV-000127,0,Silver Glass Set,338,SILVER,999,84,1.5,PENDING,-601.04,-619.08,7.69
PAKKA,1.5,C09404,2025-09-17,1038,85.46,INV-000128,0,Silver Chain,326,SILVER,999,102,1.5,PAID,2848.82,2934.28,34.91
PAKKA,1.5,C06907,2025-05-29,1868,9249.16,INV-000129,0,Gold Earrings 22K,387,GOLD,18K,7687,1.5,PAID,308305.1,317554.26,40.3
KACHA,1.5,C07805,2024-09-14,300,2746.36,INV-000130,0,Gold Mangalsutra 22K,376,GOLD,22K,6919,1.5,PAID,91545.18,94291.54,13.22
PAKKA,1.5,C02500,2025-07-25,234,4982.02,INV-000131,0,Gold Earrings 22K,206,GOLD,22K,7776,1.5,PAID,166067.36,171049.38,21.36
KACHA,1.5,C04885,2025-02-15,1783,6710.08,INV-000132,0,Gold Chain 22K,179,GOLD,18K,6866,1.5,PAID,223669.46,230379.54,32.81
PAKKA,1.5,C08744,2025-12-01,860,5415.66,INV-000133,0,Gold Anklet 22K,349,GOLD,24K,6595,1.5,PAID,180521.75,185937.41,27.45
KACHA,1.5,C09226,2024-09-13,2192,3202.48,INV-000134,0,Gold Pendant 18K,310,GOLD,24K,6968,1.5,PENDING,106749.12,109951.60,15.59
KACHA,1.5,C09248,2024-11-26,510,1405.10,INV-000135,0,Gold Ring 22K,414,GOLD,24K,6792,1.5,PAID,46836.72,48241.82,6.91
KACHA,1.5,C00338,2025-02-13,256,7582.54,INV-000136,0,Gold Bracelet 22K,243,GOLD,22K,7031,1.5,PAID,252751.45,260333.99,35.95
PAKKA,1.5,C08852,2024-01-15,1293,10545.20,INV-000137,0,Gold Chain 22K,165,GOLD,22K,7310,1.5,PAID,351506.4,362051.60,48.24
PAKKA,1.5,C00492,2025-08-13,148,18.62,INV-000138,0,Silver Idol,312,SILVER,999,99,1.5,PAID,620.39,639.01,4.61
PAKKA,1.5,C03673,2024-10-18,111,5254.10,INV-000139,0,Gold Bangle 22K,179,GOLD,18K,7665,1.5,PAID,175136.6,180390.70,22.84
PAKKA,1.5,C02560,2024-09-30,968,9246.20,INV-000140,0,Gold Pendant 18K,470,GOLD,22K,7419,1.5,PENDING,308206.59,317452.79,41.61
KACHA,1.5,C00301,2024-07-23,2760,2354.78,INV-000141,0,Gold Earrings 22K,336,GOLD,22K,6869,1.5,PAID,78492.82,80847.60,11.78
PAKKA,1.5,C01229,2025-04-17,367,7823.34,INV-000142,0,Gold Ring 22K,389,GOLD,24K,7600,1.5,PAID,260778,268601.34,34.31
KACHA,1.5,C06686,2024-02-07,1872,5.90,INV-000143,0,Silver Glass Set,333,SILVER,999,83,1.5,PAID,196.53,202.43,20.91
PAKKA,1.5,C07737,2025-11-18,1995,5796.00,INV-000144,0,Gold Bangle 22K,321,GOLD,22K,7239,1.5,PAID,193199.88,198995.88,26.92
KACHA,1.5,C03017,2024-01-10,2003,79.34,INV-000145,0,Silver Bangle,162,SILVER,999,99,1.5,PAID,2644.69,2724.03,45.31
KACHA,1.5,C00622,2025-01-06,2535,4841.92,INV-000146,0,Gold Chain 22K,149,GOLD,18K,6850,1.5,PAID,161397.5,166239.42,23.91
PAKKA,1.5,C02087,2024-12-23,1177,7.50,INV-000147,0,Silver Chain,320,SILVER,999,100,1.5,PENDING,250,257.50,11.07
PAKKA,1.5,C05909,2024-02-11,1086,3973.64,INV-000148,0,Gold Chain 22K,386,GOLD,22K,6540,1.5,PENDING,132454.4,136428.04,20.36
PAKKA,1.5,C04089,2025-05-21,1719,6734.16,INV-000149,0,Gold Pendant 18K,304,GOLD,18K,7394,1.5,PAID,224471.7,231205.86,30.55
KACHA,1.5,C02545,2024-06-13,2798,3721.46,INV-000150,0,Gold Ring 22K,230,GOLD,24K,7007,1.5,PAID,124048.49,127769.95,18.07
PAKKA,1.5,C08075,2025-08-06,424,7912.16,INV-000151,0,Gold Ring 22K,268,GOLD,24K,7581,1.5,PAID,263738.61,271650.77,34.81
PAKKA,1.5,C06263,2025-06-04,361,9408.74,INV-000152,0,Gold Bangle 22K,484,GOLD,18K,7589,1.5,PAID,313624.59,323033.33,41.31
PAKKA,1.5,C02321,2025-05-25,902,-0.84,INV-000153,0,Silver Glass Set,368,SILVER,999,96,1.5,PAID,-28.08,-28.92,5.27
PAKKA,1.5,C03603,2025-02-28,1266,4990.18,INV-000154,0,Gold Necklace 22K,487,GOLD,22K,7474,1.5,PAID,166339.64,171329.82,22.36
PAKKA,1.5,C08918,2025-08-13,743,107.08,INV-000155,0,Silver Payal,268,SILVER,999,83,1.5,PENDING,3569.59,3676.67,48.73
PAKKA,1.5,C01577,2025-08-13,268,3.80,INV-000156,0,Silver Glass Set,292,SILVER,999,81,1.5,PAID,126.87,130.67,1.27
KACHA,1.5,C02301,2025-10-03,2784,4622.00,INV-000157,0,Gold Ring 22K,405,GOLD,22K,6524,1.5,PAID,154066.52,158688.52,23.98
PAKKA,1.5,C03193,2024-12-19,1412,10188.08,INV-000158,0,Gold Bracelet 22K,421,GOLD,22K,7078,1.5,PAID,339602.36,349790.44,48.12
KACHA,1.5,C00265,2025-11-03,2332,3749.44,INV-000159,0,Gold Bangle 22K,277,GOLD,18K,6508,1.5,PAID,124981.16,128730.60,19.52
KACHA,1.5,C07304,2025-10-15,1123,848.78,INV-000160,0,Gold Mangalsutra 22K,407,GOLD,18K,7041,1.5,PAID,28292.92,29141.70,4.12
PAKKA,1.5,C05032,2025-01-18,653,1170.56,INV-000161,0,Gold Bracelet 22K,340,GOLD,22K,7593,1.5,PENDING,39018.74,40189.30,5.18
PAKKA,1.5,C08596,2024-08-01,2419,-11.46,INV-000162,0,Silver Chain,298,SILVER,999,108,1.5,PAID,-382.2,-393.66,16.1
PAKKA,1.5,C00874,2024-10-29,334,7103.78,INV-000163,0,Gold Bangle 22K,425,GOLD,22K,6501,1.5,PAID,236792.41,243896.19,36.41
PAKKA,1.5,C04213,2025-09-09,178,78.50,INV-000164,0,Silver Ring,252,SILVER,999,106,1.5,PAID,2616.94,2695.44,23.99
PAKKA,1.5,C08018,2024-05-06,2377,422.66,INV-000165,0,Gold Bangle 22K,494,GOLD,24K,7227,1.5,PENDING,14088.67,14511.33,2.21
PAKKA,1.5,C04873,2024-06-05,2370,2895.22,INV-000166,0,Gold Necklace 22K,375,GOLD,22K,7169,1.5,PAID,96507.06,99402.28,13.74
KACHA,1.5,C04185,2024-01-20,2772,-41.44,INV-000167,0,Silver Bangle,261,SILVER,999,108,1.5,PENDING,-1381.32,-1422.76,10.46
KACHA,1.5,C02033,2025-09-25,1420,-13.60,INV-000168,0,Silver Ring,200,SILVER,999,77,1.5,PAID,-453.08,-466.68,9.96
PAKKA,1.5,C07023,2024-03-09,2735,-41.24,INV-000169,0,Silver Glass Set,119,SILVER,999,87,1.5,PENDING,-1374.51,-1415.75,14.27
PAKKA,1.5,C05330,2024-11-01,2667,7522.48,INV-000170,0,Gold Ring 22K,412,GOLD,24K,7081,1.5,PENDING,250749.13,258271.61,35.73
KACHA,1.5,C06054,2024-09-05,1672,49.56,INV-000171,0,Silver Glass Set,199,SILVER,999,88,1.5,PAID,1651.88,1701.44,35.51
